Episode,Total Reward,Traditional Reward,Non-traditional Reward,Timesteps
0,0
1, 43.1, 5, 38.1, 383
2, 46.1, 6, 40.1, 403
3, 30.9, 3, 27.9, 281
4, 34.8, 3, 31.8, 320
5, 29.8, 3, 26.8, 270
6, 26.5, 5, 21.5, 217
7, 63.5, 10, 53.5, 537
8, 19.09, 1, 18.09, 183
9, 62.4, 9, 53.4, 536
10, 51.7, 3, 48.7, 489
