Episode,Total Reward,Traditional Reward,Non-traditional Reward,Timesteps
0,0
1, 36.6, 5, 31.6, 318
2, 46.0, 4, 42.0, 422
3, 21.8, 1, 20.8, 210
4, 23.0, 2, 21.0, 212
5, 30.4, 2, 28.4, 286
6, 28.7, 4, 24.7, 249
7, 26.6, 2, 24.6, 248
8, 83.59, 4, 79.59, 798
9, 35.9, 3, 32.9, 331
10, 30.4, 5, 25.4, 256
